,Medicine Name,Use,Side Effects,Dosage
0,A-Methapred,"A-Methapred (methylprednisolone sodium succinate) is an anti-inflammatory steroid used to treat conditions such as arthritis, lupus, dermatitis, Steven's-Johnson Syndrome, asthma, eye inflammation, ulcerative colitis, leukemia, multiple sclerosis, and more. A-Methapred is available in generic form.","['muscle weakness', 'peptic ulcer', 'slow wound healing', 'thinning skin', 'facial redness', 'vertigo']",Dosage recommendations for A-Methapred vary for each individual. Talk to your doctor about your individual dosage recommendation.
1,Kivexa,Kivexa (abacavir and lamivudine) is a combination of antiviral drugs called nucleoside analogues that is indicated in antiretroviral combination therapy for the treatment of Human Immunodeficiency Virus (HIV) infection in adults and adolescents from 12 years of age. Epzicom is the name for the drug equivalent in the U.S.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'dizziness,', 'pale skin,', 'unusual tiredness,']",The recommended dose of Kivexa tablets in adults and adolescents is one tablet once daily.
2,Ziagen,"Ziagen (abacavir sulfate) is an antiviral medication used to treat HIV, which causes the acquired immunodeficiency syndrome (AIDS). Ziagen is not a cure for HIV or AIDS.","['trouble sleeping, ', 'loss of appetite, ', 'strange dreams, ', 'headache, ', 'ear pain, ', 'cold symptoms (stuffy nose, sneezing, sinus pain), or ']","The recommended oral dose of Ziagen for adults is 600 mg daily, administered as either 300 mg twice daily or 600 mg once daily, in combination with other antiretroviral agents. Pediatric dose is determined by the child's weight."
3,Epzicom,"Epzicom (abacavir sulfate and lamivudine) is a type of antiviral medication called a reverse transcriptase inhibitor used to treat HIV, which causes the acquired immunodeficiency syndrome (AIDS). Epzicom is not a cure for HIV or AIDS.","['headache, ', 'nausea, ', 'diarrhea, ', 'dizziness, ', 'tiredness, ', 'trouble sleeping, ']","The recommended oral dose of Epzicom for adults is one tablet daily, in combination with other antiretroviral agents."
4,Trizivir,"Trizivir (abacavir sulfate, lamivudine, and zidovudine) is a type of antiviral medication called a reverse transcriptase inhibitor used to treat HIV, which causes the acquired immunodeficiency syndrome (AIDS). Trizivir is not a cure for HIV or AIDS.","['headache, ', 'tiredness, ', 'weakness, ', 'nausea, ', 'vomiting, ', 'loss of appetite, ']",The recommended oral dose of Trizivir is one tablet twice daily.
5,Triumeq,"Triumeq (abacavir, dolutegravir, and lamivudine) is a combination of an integrase strand transfer inhibitor (INSTI) and two nucleoside analogues used to treat human immunodeficiency virus type 1 (HIV1) infection.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'fever,', 'rash,', 'nausea,']",The adult dose of Triumeq is one tablet daily.
6,Tymlos,Tymlos (abaloparatide) injection is a human parathyroid hormone related peptide [PTHrP(1-34)] analog indicated for the treatment of postmenopausal women with osteoporosis at high risk for fracture.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'nausea, and', 'palpitations', 'high calcium levels in the urine (hypercalciuria), ']",The recommended dose of Tymlos is 80 mcg subcutaneously once daily; patients should receive supplemental calcium and vitamin D if dietary intake is inadequate.
7,Xeglyze,"Xeglyze (abametapir) is a pediculicide indicated for the topical treatment of head lice infestation in patients 6 months of age and older. Xeglyze should be used in the context of an overall lice management program: Wash (with hot water) or dry-clean all recently worn clothing, hats, used bedding and towel; wash personal care items such as combs, brushes and hair clips in hot water; and use a fine-tooth comb or special nit comb to remove dead lice and nits.","['skin redness,', 'rash, ', 'skin burning sensation, ', 'contact dermatitis,', 'vomiting,', 'eye irritation,']",Apply Xeglyze to dry hair in an amount sufficient (up to the full content of one bottle) to thoroughly coat the hair and scalp. Avoid contact with eyes. Massage Xeglyze into the scalp and throughout the hair; leave on the hair and scalp for 10 minutes and then rinse off with warm water. Treatment with Xeglyze involves a single application.
8,Plenaxis,Plenaxis (abarelix) for Injectable Suspension inhibits gonadotropin releasing-hormone (GnRH) and is used in the palliative treatment of advanced prostate cancer. The brand name Plenaxis is discontinued but generic versions may be available.,"['\nhot flashes ', 'sleep disturbances ', 'breast enlargement or pain ', 'nipple tenderness ', 'diarrhea or constipation ', 'swelling of extremities ']",The recommended dose of Plenaxis is 100 mg administered intramuscularly to the buttock on Day 1 15 29 (week 4) and every 4 weeks thereafter.
9,Orencia,Orencia (abatacept) is a recombinant DNA generated fusion protein used to treat the symptoms of rheumatoid arthritis and to prevent joint damage caused by these conditions. Orencia is also used to treat arthritis in children who are at least 6 years old. Orencia is not a cure for any autoimmune disorder and only treats symptoms.,"['fever,', 'chills,', 'night sweats,', 'flu symptoms,', 'weight loss,', 'feeling very tired,']","Orencia is supplied in single use vials at a strength of 250mg per vial. Orencia is administered intravenously (IV) as a 30-minute infusion. Dosing is based on the patient's weight. Following the initial intravenous administration, an IV infusion is given at 2 and 4 weeks after the first infusion and every 4 weeks thereafter."
